id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,graphics memory,rating,reviews,name,url
5bffcd46c3,129900,apple,MacBook Air,Not Specified,8,13.3,256,,,,4.8,73,Apple MacBook Air 13-inch M1 256GB - Oliz Store,https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811-s1028165605.html?search=1
24305711ad,27999,lenovo,Ideapad 1,Celeron Dual core,4,14.0,128,2,,,3.3,3,Lenovo Ideapad 1 Intel Celeron N4020 – 4GB DDR4 RAM – 128GB eMMC Storage – Intel UHD Graphics – 14″ Display – Windows 11 – Cloud Grey,https://www.daraz.com.np/products/lenovo-ideapad-1-intel-celeron-n4020-4gb-ddr4-ram-128gb-emmc-storage-intel-uhd-graphics-14-display-windows-11-cloud-grey-i129798536-s1037645226.html?search=1
822dfcd434,64999,dell,Vostro 3520,Intel Core i5,16,15.6,512,Not Specified,,,4.5,13,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877-s1037407894.html?search=1
217f013439,101999,acer,Nitro 5,Ryzen 7,16,15.6,512,,,,5.0,1,Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB,https://www.daraz.com.np/products/acer-nitro-5-ryzen-7-5800h-16gb-ram-512gb-ssd-gtx-1650-144hz-rgb-i128490145-s1035974947.html?search=1
afc24e7af0,107999,hp,Victus 15,Intel Core i5,16,15.6,512,,,,4.6,10,"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-16gb-ddr4-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128473367-s1035957702.html?search=1
16067d2751,249000,apple,MacBook Air,Not Specified,8,15.6,512,,,,0.0,0,"Apple MacBook Air (15-inch, M3 Chip) 8C-CPU, 10C-GPU, 8GB RAM, 512GB SSD - EvoStore",https://www.daraz.com.np/products/apple-macbook-air-15-inch-m3-chip-8c-cpu-10c-gpu-8gb-ram-512gb-ssd-evostore-i131511581-s1038461553.html?search=1
ec264ee005,32999,lenovo,V15 celeron,Intel Celeron,4,15.6,256,2,,,4.4,18,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display",https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554-s1032329631.html?search=1
68848b576a,105999,hp,Victus 15,Intel Core i5,8,15.6,512,,,,4.6,14,"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-8gb-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128017013-s1035959655.html?search=1
dd5ad287ae,111499,hp,Victus 15,Intel Core i5,16,15.6,512,8,,6,4.7,6,"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11",https://www.daraz.com.np/products/hp-victus-15-core-i5-13th-gen-intel-13420h-nvidia-rtx-3050-6gb-graphics-16gb-ram512gb-ssd156-144hrzbacklit-keyboardwin-11-i128174010-s1035273454.html?search=1
c796a503a8,69990,acer,Aspire 5,Intel Core i5,8,15.6,512,,,,4.7,6,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11",https://www.daraz.com.np/products/acer-aspire-5-core-i5-13th-gen8gb-ram512gb-ssd156-fhdwin-11-i128494367-s1036005360.html?search=1
